unique_id,mean,std,e_acf1,trend,linearity,curvature,seasonal_strength,peak,trough,entropy,lumpiness,spike,Vchange,Lchange
Audi A1,-0.16444245972776916,-0.23592461995355454,1.0049459272646852,-0.6718829557458755,-0.4981089616012911,-0.5619670020690146,0.8514972384641576,-0.4560484668812704,0.5621843892425156,0.4276019335400205,-0.40489532692077396,-0.45620203311595947,-0.32556094258510726,-0.12531019576649688
Audi A3,1.1402919640670974,0.28088250475328946,0.9295493372224334,0.2738999861256355,-0.6939708082418186,-0.5542563499512655,0.6729843672137179,-0.4560484668812704,-1.928962950244962,0.6617186336702366,-0.7763858735052024,-0.596992478866721,0.09993655730390044,1.2932767165013495
Audi A4,1.5490805091846447,0.629813589177971,0.4880034299807342,0.5733948429101337,-1.2546526327118381,-0.4884570716296245,0.7702561274640727,-0.4560484668812704,0.9180625805978695,0.3910775821610235,-0.9547861435864012,-0.6340791884787721,0.40340925715396725,1.7537360749096014
Audi A5,0.013475870789712604,-0.26804203146915645,-0.5144043955913314,0.26322863442724415,-1.0265881576141151,-1.2642258816088132,0.06868903912419333,-0.4560484668812704,0.9180625805978695,0.43406660617776577,-0.8454655120425191,-0.3563579637183432,-0.3743775543911985,0.07003619870973107
Audi A6,0.6764334595036625,0.10894744121416007,0.42844565507041465,1.2590501456607397,-0.3014487689218203,-1.5840097678961587,1.1263975042519387,-0.4560484668812704,-0.14957199346819228,-0.4843152150683961,-1.1387483242587424,-0.6564462019893181,-0.1787095997359404,0.7909574164196205
Audi A7,-0.6283009642912039,-0.5729055892794483,-2.047427219998706,-1.6680129615305475,-0.14916116176899907,-0.6714780372846797,-0.7844492948506367,-0.4560484668812704,0.9180625805978695,0.43931099330338824,-0.7429996685377619,0.21332401439377116,-0.46928387336856503,-0.6299550481634192
Audi A8,-0.7193782049132481,-0.6551179732917096,-0.31175577755069134,-1.503200751845875,0.30817552189481484,-0.28763355489511727,-1.1085202768007802,1.8464401342022168,1.9856971546639313,0.957523003442157,-0.5784496332205057,0.20965572173190772,-0.4822157585385817,-0.7299537977167264
Audi E-Tron,-0.018295259659837713,0.13260012648160172,1.5068167032540445,0.07425662182602315,1.3126403077271278,-0.9413554387114884,-1.1089671764245188,-0.4560484668812704,-0.5054501848235462,-0.4347326835371296,0.2857699050617771,1.0830313605226563,-0.11210955463654036,0.016548495460287745
Audi Other,2.4513806139518737,4.467827208044711,1.8953406248666573,2.2137045682714263,1.6552713363670615,2.6173042677888327,0.3647478160104228,-0.4560484668812704,-0.8613283761789001,-2.5407526332761843,-0.7777845485430542,-0.7147152709130663,3.466777119058347,1.409554332261009
Audi Q2,0.31847872310539566,0.45793679489962397,1.2596120180523835,-0.5702461477286814,-0.7483843354801539,-0.24833864866741365,1.223341770007927,-0.4560484668812704,0.9180625805978695,-0.11563638922275554,0.28188555227846485,-0.10624537426812317,0.39335484190535147,0.40724128441274354
Audi Q3,0.9772001610927389,0.7631705215294408,0.23011535580809953,0.986195689123705,0.258055738558764,-1.2374351200915317,1.2887066822872553,-0.4560484668812704,-0.5054501848235462,-0.5891852472032404,0.1054905022573894,-0.3893464664772634,0.8222818844332381,1.1072325312858944
Audi Q4,-0.5308694975792495,-0.29173693895119457,3.0858846162934177,2.1048694024098866,2.3780126871694325,2.143267188471871,1.0643521248110486,1.4626920340216356,-1.217206567534254,-3.4617071493017937,-0.2824409843057352,-0.7052164961358632,-0.4604674393652032,-0.5811184495443623
Audi Q5,0.3481317781916426,0.13491732520052072,0.07011527813933979,0.06108164019421681,-0.4798456659419243,-0.5643298385073834,0.7529878297180885,-0.4560484668812704,0.5621843892425156,0.8024912570601317,0.1825793951069009,-0.4957732458909351,-0.03883444849854195,0.4397990168254483
Audi Q7,-0.49486221640309247,-0.42014500018123524,0.3237999344635437,0.7018796206177468,-1.4125967619688553,1.0016601749233238,0.3477415491760877,-0.4560484668812704,0.5621843892425156,-0.6529322945829467,-0.032938480863623235,-0.41750973547593867,-0.4434702914573934,-0.48809635693663467
Audi Q8,-0.6388913411077206,-0.5414575627286143,1.0795310981792108,-0.23980278270335265,0.16015472289097873,-0.9758306688507628,-0.7718395358020849,-0.4560484668812704,1.2739407719532234,0.24413209272558353,-0.426504683712224,-0.19279999051984048,-0.46816299845732173,-0.6415828097393853
Audi Rs,-0.7447951092728883,-0.6817610141675717,-0.3748917397922857,-0.9480810495300409,1.0584027233501752,0.08138958767515185,-0.6673166011067337,-0.07230036670068919,-0.5054501848235462,0.39972756042855023,0.9998515057029841,0.1376125717030155,-0.48516014636513144,-0.7578604254990448
Audi Rs3,-0.749031259999495,-0.6841592876440209,-0.712702188103894,-1.061672319612331,0.3367828136850102,1.0369067076039196,-0.542634803816097,2.9976844347439604,-0.8613283761789001,1.069647296935848,-0.1151607751805036,0.7274289246741568,-0.4852772526991419,-0.7648370824446243
Audi Rs6,-0.7045516773701246,-0.6543753117651143,0.14504104803052276,-0.05380030119097859,1.5631957484064838,0.0026334311730902183,-1.428599423888335,2.230188234382798,-0.5054501848235462,-0.2831370028820995,-0.645378701776955,-0.18466921622952132,-0.48393889459616474,-0.7136749315103742
Audi S3,-0.7575035614527085,-0.6949892634407947,-0.15780941312170427,-2.0897672169618695,-0.37395744608552417,-0.11345481634555248,-1.9112141425044384,2.613936334563379,-0.5054501848235462,1.2661596610671557,1.0974180658622517,2.8202296763323598,-0.48561184222488624,-0.7694881870750107
